GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,AREALAND,AREAWATR,BASENAME,NAME,POP100
5211600US550204953100,5.50205E+11,55,49,53100,2,7968091,0,Mineral Point,Mineral Point city,2581
5211600US550204953125,5.50205E+11,55,49,53125,2,152802194,244685,Mineral Point,Mineral Point town,974
5211600US550204953950,5.50205E+11,55,49,53950,2,94848,0,Montfort,Montfort village,72
5211600US550204954425,5.50205E+11,55,49,54425,2,107271948,17224,Moscow,Moscow town,582
5211600US550204955200,5.50205E+11,55,49,55200,2,1366965,0,Muscoda,Muscoda village,62
5211600US550204965700,5.50205E+11,55,49,65700,2,112030786,3253131,Pulaski,Pulaski town,357
5211600US550204967100,5.50205E+11,55,49,67100,2,1312264,0,Rewey,Rewey village,258
5211600US550204967875,5.50205E+11,55,49,67875,2,3227190,0,Ridgeway,Ridgeway village,624
5211600US550204967900,5.50205E+11,55,49,67900,2,110737336,60134,Ridgeway,Ridgeway town,563
5211600US550204983150,5.50205E+11,55,49,83150,2,108561656,0,Waldwick,Waldwick town,460
5211600US550204989350,5.50205E+11,55,49,89350,2,102930266,2736235,Wyoming,Wyoming town,317
5211600US550206502650,5.50207E+11,55,65,2650,2,1628360,0,Argyle,Argyle village,783
5211600US550206502675,5.50207E+11,55,65,2675,2,92037772,140987,Argyle,Argyle town,449
5211600US550206506425,5.50207E+11,55,65,6425,2,2283750,0,Belmont,Belmont village,989
5211600US550206506450,5.50207E+11,55,65,6450,2,106007201,270824,Belmont,Belmont town,794
5211600US550206506825,5.50207E+11,55,65,6825,2,2183557,0,Benton,Benton village,946
5211600US550206506850,5.50207E+11,55,65,6850,2,72517095,0,Benton,Benton town,474
5211600US550206508100,5.50207E+11,55,65,8100,2,45409733,55767,Blanchard,Blanchard town,300
5211600US550206508125,5.50207E+11,55,65,8125,2,997293,0,Blanchardville,Blanchardville village,613
5211600US550206517950,5.50207E+11,55,65,17950,2,472326,0,Cuba City,Cuba City city,248
5211600US550206518875,5.50207E+11,55,65,18875,2,4265320,0,Darlington,Darlington city,2462
5211600US550206518900,5.50207E+11,55,65,18900,2,118918374,0,Darlington,Darlington town,923
5211600US550206523262,5.50207E+11,55,65,23262,2,94003944,0,Elk Grove,Elk Grove town,566
5211600US550206525475,5.50207E+11,55,65,25475,2,91055574,1873696,Fayette,Fayette town,381
5211600US550206530575,5.50207E+11,55,65,30575,2,1420287,0,Gratiot,Gratiot village,224
5211600US550206530600,5.50207E+11,55,65,30600,2,140854818,0,Gratiot,Gratiot town,575
5211600US550206533500,5.50207E+11,55,65,33500,2,115476,0,Hazel Green,Hazel Green village,22
5211600US550206539125,5.50207E+11,55,65,39125,2,110133159,35410,Kendall,Kendall town,402
5211600US550206542175,5.50207E+11,55,65,42175,2,51624128,0,Lamont,Lamont town,313
5211600US550206554025,5.50207E+11,55,65,54025,2,50860170,0,Monticello,Monticello town,138
5211600US550206556625,5.50207E+11,55,65,56625,2,65470141,0,New Diggings,New Diggings town,486
5211600US550206572700,5.50207E+11,55,65,72700,2,93558475,0,Seymour,Seymour town,392
5211600US550206573825,5.50207E+11,55,65,73825,2,3454297,0,Shullsburg,Shullsburg city,1173
5211600US550206573850,5.50207E+11,55,65,73850,2,90038188,0,Shullsburg,Shullsburg town,312
5211600US550206575275,5.50207E+11,55,65,75275,2,2155411,0,South Wayne,South Wayne village,444
5211600US550206584850,5.50207E+11,55,65,84850,2,95060747,91696,Wayne,Wayne town,474
5211600US550206586800,5.50207E+11,55,65,86800,2,42826213,0,White Oak Springs,White Oak Springs town,109
5211600US550206587275,5.50207E+11,55,65,87275,2,124893541,0,Willow Springs,Willow Springs town,789
5211600US550206588050,5.50207E+11,55,65,88050,2,136740077,70630,Wiota,Wiota town,830
5211600US550210310950,5.5021E+11,55,103,10950,2,106615775,2450460,Buena Vista,Buena Vista town (part),1799
5211600US550210313300,5.5021E+11,55,103,13300,2,2337901,170704,Cazenovia,Cazenovia village,343
5211600US550210337500,5.5021E+11,55,103,37500,2,93322545,0,Ithaca,Ithaca town,633
5211600US550210345575,5.5021E+11,55,103,45575,2,2572938,0,Lone Rock,Lone Rock village,829
5211600US550210504100,5.50211E+11,55,105,4100,2,91976610,1517723,Avon,Avon town,570
5211600US550210506500,5.50211E+11,55,105,6500,2,44839793,842385,Beloit,Beloit city (part),36657
5211600US550210506525,5.50211E+11,55,105,6525,2,67935856,1774662,Beloit,Beloit town,7721
5211600US550210509925,5.50211E+11,55,105,9925,2,365002,0,Brodhead,Brodhead city,85
5211600US550210513625,5.50211E+11,55,105,13625,2,92427055,89726,Center,Center town,1046
5211600US550210522575,5.50211E+11,55,105,22575,2,9390388,8228,Edgerton,Edgerton city,5799
5211600US550210524550,5.50211E+11,55,105,24550,2,8431443,150328,Evansville,Evansville city,5703
5211600US550210526400,5.50211E+11,55,105,26400,2,2906543,0,Footville,Footville village,772
5211600US550210528075,5.50211E+11,55,105,28075,2,81244657,3124692,Fulton,Fulton town,3580
5211600US550210532700,5.50211E+11,55,105,32700,2,6275738,44292,Harmony,Harmony town (part),793
5211600US550210537825,5.50211E+11,55,105,37825,2,754261,0,Janesville,Janesville city (part),8
5211600US550210537850,5.50211E+11,55,105,37850,2,64775866,971354,Janesville,Janesville town (part),3326
5211600US550210542575,5.50211E+11,55,105,42575,2,12842504,0,La Prairie,La Prairie town (part),217
5211600US550210548150,5.50211E+11,55,105,48150,2,93049877,176559,Magnolia,Magnolia town,742
5211600US550210552225,5.50211E+11,55,105,52225,2,49935431,4690807,Milton,Milton town (part),2385
5211600US550210556325,5.50211E+11,55,105,56325,2,94072601,132857,Newark,Newark town,1510
5211600US550210560250,5.50211E+11,55,105,60250,2,3073273,0,Orfordville,Orfordville village,1473
5211600US550210563675,5.50211E+11,55,105,63675,2,92007166,169678,Plymouth,Plymouth town,1245
5211600US550210564225,5.50211E+11,55,105,64225,2,93038684,1274552,Porter,Porter town,969
5211600US550210568600,5.50211E+11,55,105,68600,2,64188007,1373115,Rock,Rock town (part),2603
5211600US550210576325,5.50211E+11,55,105,76325,2,90209789,64773,Spring Valley,Spring Valley town,728
5211600US550210581050,5.50211E+11,55,105,81050,2,14745815,108046,Turtle,Turtle town (part),1073
5211600US550210581650,5.50211E+11,55,105,81650,2,85592842,230437,Union,Union town,2104
5211600US550211104625,5.50211E+11,55,111,4625,2,19026401,219724,Baraboo,Baraboo city,12556
5211600US550211104650,5.50211E+11,55,111,4650,2,80042649,2074518,Baraboo,Baraboo town,1816
5211600US550211105600,5.50211E+11,55,111,5600,2,128502474,72168,Bear Creek,Bear Creek town,641
5211600US550211113300,5.50211E+11,55,111,13300,2,32788,0,Cazenovia,Cazenovia village,20
5211600US550211119550,5.50211E+11,55,111,19550,2,90759861,302057,Dellona,Dellona town,1901
5211600US550211119675,5.50211E+11,55,111,19675,2,71752580,1928108,Delton,Delton town,2460
5211600US550211124675,5.50211E+11,55,111,24675,2,86976913,1194997,Excelsior,Excelsior town,1603
5211600US550211124900,5.50211E+11,55,111,24900,2,86613638,5689231,Fairfield,Fairfield town,1078
5211600US550211127350,5.50211E+11,55,111,27350,2,126583729,654935,Franklin,Franklin town,668
5211600US550211127675,5.50211E+11,55,111,27675,2,88793631,1068661,Freedom,Freedom town,449
5211600US550211131250,5.50211E+11,55,111,31250,2,71718663,539184,Greenfield,Greenfield town,909
5211600US550211135625,5.50211E+11,55,111,35625,2,123231371,170356,Honey Creek,Honey Creek town,749
5211600US550211137225,5.50211E+11,55,111,37225,2,862597,3866,Ironton,Ironton village,274
5211600US550211137250,5.50211E+11,55,111,37250,2,90926992,155895,Ironton,Ironton town,662
5211600US550211141300,5.50211E+11,55,111,41300,2,19392672,1647166,Lake Delton,Lake Delton village,3501
5211600US550211142825,5.50211E+11,55,111,42825,2,1031985,22066,La Valle,La Valle village,388
5211600US550211142850,5.50211E+11,55,111,42850,2,87168223,4325426,La Valle,La Valle town,1420
5211600US550211144225,5.50211E+11,55,111,44225,2,2592017,0,Lime Ridge,Lime Ridge village,158
5211600US550211145400,5.50211E+11,55,111,45400,2,685079,12063,Loganville,Loganville village,301
5211600US550211151325,5.50211E+11,55,111,51325,2,2130568,1710337,Merrimac,Merrimac village,527
5211600US550211151350,5.50211E+11,55,111,51350,2,62706867,5068574,Merrimac,Merrimac town,1247
5211600US550211158025,5.50211E+11,55,111,58025,2,2170483,143083,North Freedom,North Freedom village,603
5211600US550211163125,5.50211E+11,55,111,63125,2,2156880,0,Plain,Plain village,749
