GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,SLDU18,SLDL18,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7100000US5504300216315500,5504300216315500,55,43,15500,,,,2163,17659823,0,Clifton,Clifton town (part),95
7100000US5504300216417950,5504300216417950,55,43,17950,,,,2164,1130412,0,Cuba City,Cuba City city (part),608
7100000US5504300216517950,5504300216517950,55,43,17950,,,,2165,570497,0,Cuba City,Cuba City city (part),514
7100000US5504300216617950,5504300216617950,55,43,17950,,,,2166,302511,0,Cuba City,Cuba City city (part),288
7100000US5504300216717950,5504300216717950,55,43,17950,,,,2167,528701,0,Cuba City,Cuba City city (part),480
7100000US5504300216825625,5504300216825620,55,43,25625,,,,2168,28064713,0,Fennimore,Fennimore town (part),187
7100000US5504300216934300,5504300216934300,55,43,34300,,,,2169,93958590,0,Hickory Grove,Hickory Grove town,568
7100000US5504300217042250,5504300217042250,55,43,42250,,,,2170,1843837,0,Lancaster,Lancaster city (part),534
7100000US5504300217142250,5504300217142250,55,43,42250,,,,2171,1009939,0,Lancaster,Lancaster city (part),571
7100000US5504300217242250,5504300217242250,55,43,42250,,,,2172,356277,0,Lancaster,Lancaster city (part),442
7100000US5504300217342250,5504300217342250,55,43,42250,,,,2173,1552242,0,Lancaster,Lancaster city (part),929
7100000US5504300217442250,5504300217442250,55,43,42250,,,,2174,250326,0,Lancaster,Lancaster city (part),388
7100000US5504300217542250,5504300217542250,55,43,42250,,,,2175,2775722,0,Lancaster,Lancaster city (part),1043
7100000US5504300217643825,5504300217643820,55,43,43825,,,,2176,94608512,0,Liberty,Liberty town,543
7100000US5504300217744050,5504300217744050,55,43,44050,,,,2177,94327980,27874,Lima,Lima town,771
7100000US5504300217845025,5504300217845020,55,43,45025,,,,2178,93287416,0,Little Grant,Little Grant town,314
7100000US5504300217945325,5504300217945320,55,43,45325,,,,2179,2147062,0,Livingston,Livingston village,625
7100000US5504300218049350,5504300218049350,55,43,49350,,,,2180,91759854,707458,Marion,Marion town,629
7100000US5504300218153950,5504300218153950,55,43,53950,,,,2181,1298520,0,Montfort,Montfort village,633
7100000US5504300218254675,5504300218254670,55,43,54675,,,,2182,715957,0,Mount Hope,Mount Hope village,215
7100000US5504300218354700,5504300218354700,55,43,54700,,,,2183,77251780,0,Mount Hope,Mount Hope town,282
7100000US5504300218454775,5504300218454770,55,43,54775,,,,2184,93941399,0,Mount Ida,Mount Ida town,561
7100000US5504300218555200,5504300218555200,55,43,55200,,,,2185,1501458,92,Muscoda,Muscoda village (part),643
7100000US5504300218555225,5504300218555220,55,43,55225,,,,2185,6593,0,Muscoda,Muscoda town (part),0
7100000US5504300218655200,5504300218655200,55,43,55200,,,,2186,1150582,0,Muscoda,Muscoda village (part),602
7100000US5504300218655225,5504300218655220,55,43,55225,,,,2186,15425,0,Muscoda,Muscoda town (part),0
7100000US5504300218755225,5504300218755220,55,43,55225,,,,2187,86374734,2909317,Muscoda,Muscoda town (part),754
7100000US5504300218858125,5504300218858120,55,43,58125,,,,2188,89969451,28413,North Lancaster,North Lancaster town (part),536
7100000US5504300218958125,5504300218958120,55,43,58125,,,,2189,3208660,0,North Lancaster,North Lancaster town (part),45
7100000US5504300219061150,5504300219061150,55,43,61150,,,,2190,45088584,56773,Paris,Paris town (part),244
7100000US5504300219163250,5504300219163250,55,43,63250,,,,2191,1661046,0,Platteville,Platteville city (part),1317
7100000US5504300219263250,5504300219263250,55,43,63250,,,,2192,915978,0,Platteville,Platteville city (part),1412
7100000US5504300219363250,5504300219363250,55,43,63250,,,,2193,12425,0,Platteville,Platteville city (part),4
7100000US5504300219363275,5504300219363270,55,43,63275,,,,2193,16044836,0,Platteville,Platteville town (part),557
7100000US5504300219463275,5504300219463270,55,43,63275,,,,2194,30152217,0,Platteville,Platteville town (part),405
7100000US5504300219574450,5504300219574450,55,43,74450,,,,2195,77303453,0,Smelser,Smelser town (part),658
7100000US5504300219675075,5504300219675070,55,43,75075,,,,2196,12508065,0,South Lancaster,South Lancaster town (part),235
7100000US5504300219742250,5504300219742250,55,43,42250,,,,2197,3066,0,Lancaster,Lancaster city (part),0
7100000US5504300219775075,5504300219775070,55,43,75075,,,,2197,40214529,0,South Lancaster,South Lancaster town (part),385
7100000US5504300219808850,5504300219808850,55,43,8850,,,,2198,28955,7913,Boscobel,Boscobel city (part),0
7100000US5504300219884075,5504300219884070,55,43,84075,,,,2198,45578329,2972563,Watterstown,Watterstown town (part),292
7100000US5504300219984075,5504300219984070,55,43,84075,,,,2199,25705862,0,Watterstown,Watterstown town (part),80
7100000US5504300220087800,5504300220087800,55,43,87800,,,,2200,91869032,28604,Wingville,Wingville town,378
7100000US5504300220188825,5504300220188820,55,43,88825,,,,2201,638242,0,Woodman,Woodman village (part),118
7100000US5504300220288825,5504300220288820,55,43,88825,,,,2202,6144,0,Woodman,Woodman village (part),0
7100000US5504300220288850,5504300220288850,55,43,88850,,,,2202,69436149,1769052,Woodman,Woodman town,158
7100000US5504300220363250,5504300220363250,55,43,63250,,,,2203,2220734,0,Platteville,Platteville city (part),0
7100000US5504500220438550,5504500220438550,55,45,38550,,,,2204,93256259,19624,Jordan,Jordan town,602
7100000US5504500220524725,5504500220524720,55,45,24725,,,,2205,5073916,0,Exeter,Exeter town (part),242
7100000US5504500220653750,5504500220653750,55,45,53750,,,,2206,571210,0,Monroe,Monroe city (part),1144
7100000US5504500220776075,5504500220776070,55,45,76075,,,,2207,103082939,0,Spring Grove,Spring Grove town,919
7100000US5504500220889475,5504500220889470,55,45,89475,,,,2208,93618545,0,York,York town (part),969
7100000US5504500220937875,5504500220937870,55,45,37875,,,,2209,50201692,0,Jefferson,Jefferson town (part),444
7100000US5504500221037875,5504500221037870,55,45,37875,,,,2210,50069645,18544,Jefferson,Jefferson town (part),726
7100000US5504500221110100,5504500221110100,55,45,10100,,,,2211,15196312,0,Brooklyn,Brooklyn town (part),165
7100000US5504500221200325,5504500221200320,55,45,325,,,,2212,93478783,0,Adams,Adams town,540
7100000US5504500221289475,5504500221289470,55,45,89475,,,,2212,6146,0,York,York town (part),0
7100000US5504500221354850,5504500221354850,55,45,54850,,,,2213,20269798,0,Mount Pleasant,Mount Pleasant town (part),176
7100000US5504500221424725,5504500221424720,55,45,24725,,,,2214,46498313,0,Exeter,Exeter town (part),846
7100000US5504500221510100,5504500221510100,55,45,10100,,,,2215,20181852,27043,Brooklyn,Brooklyn town (part),177
7100000US5504500221653750,5504500221653750,55,45,53750,,,,2216,1274864,0,Monroe,Monroe city (part),1232
7100000US5504500221753750,5504500221753750,55,45,53750,,,,2217,861805,0,Monroe,Monroe city (part),1259
7100000US5504500221853750,5504500221853750,55,45,53750,,,,2218,2131341,0,Monroe,Monroe city (part),1105
7100000US5504500221953750,5504500221953750,55,45,53750,,,,2219,920295,0,Monroe,Monroe city (part),1270
7100000US5504500222015000,5504500222015000,55,45,15000,,,,2220,45244019,0,Clarno,Clarno town (part),523
7100000US5504500222053750,5504500222053750,55,45,53750,,,,2220,1047,0,Monroe,Monroe city (part),0
7100000US5504500222156700,5504500222156700,55,45,56700,,,,2221,1008196,0,New Glarus,New Glarus village (part),793
7100000US5504500222256700,5504500222256700,55,45,56700,,,,2222,1313872,0,New Glarus,New Glarus village (part),309
7100000US5504500222356700,5504500222356700,55,45,56700,,,,2223,846748,0,New Glarus,New Glarus village (part),639
7100000US5504500222356725,5504500222356720,55,45,56725,,,,2223,4074,0,New Glarus,New Glarus town (part),0
7100000US5504500222453750,5504500222453750,55,45,53750,,,,2224,715934,0,Monroe,Monroe city (part),1077
7100000US5504500222553775,5504500222553770,55,45,53775,,,,2225,45468421,15810,Monroe,Monroe town (part),608
7100000US5504500222653750,5504500222653750,55,45,53750,,,,2226,1364811,0,Monroe,Monroe city (part),1265
7100000US5504500222754000,5504500222754000,55,45,54000,,,,2227,1489581,41694,Monticello,Monticello village (part),630
7100000US5504500222811725,5504500222811720,55,45,11725,,,,2228,94263685,365796,Cadiz,Cadiz town,747
7100000US5504500222910475,5504500222910470,55,45,10475,,,,2229,2728705,0,Browntown,Browntown village,245
7100000US5504500223024725,5504500223024720,55,45,24725,,,,2230,29716176,0,Exeter,Exeter town (part),292
7100000US5504500223056725,5504500223056720,55,45,56725,,,,2230,5192,0,New Glarus,New Glarus town (part),0
7100000US5504500223124725,5504500223124720,55,45,24725,,,,2231,9797928,4709,Exeter,Exeter town (part),776
