GEOID,GEOCODE,STATE,COUNTY,COUSUB,SLDL18,AREALAND,AREAWATR,BASENAME,NAME,POP100
623L600US5502711700000,5.50271E+12,55,117,0,27,0,8709359,County subdivisions not defined,County subdivisions not defined (part),0
623L600US5502711723275,5.50271E+12,55,117,23275,27,3319226,21462,Elkhart Lake,Elkhart Lake village,941
623L600US5502711729350,5.50271E+12,55,117,29350,27,1799564,73002,Glenbeulah,Glenbeulah village,451
623L600US5502711734050,5.50271E+12,55,117,34050,27,87617276,568660,Herman,Herman town,2162
623L600US5502711736025,5.50271E+12,55,117,36025,27,5762774,65261,Howards Grove,Howards Grove village,3237
623L600US5502711740275,5.50271E+12,55,117,40275,27,13774530,558811,Kohler,Kohler village,2195
623L600US5502711754475,5.50271E+12,55,117,54475,27,54642547,55967,Mosel,Mosel town,748
623L600US5502711763700,5.50271E+12,55,117,63700,27,13854405,202173,Plymouth,Plymouth city,8932
623L600US5502711763725,5.50271E+12,55,117,63725,27,78021890,500752,Plymouth,Plymouth town,3083
623L600US5502711767150,5.50271E+12,55,117,67150,27,86652483,3125286,Rhine,Rhine town,2139
623L600US5502711772975,5.50271E+12,55,117,72975,27,11098195,89934,Sheboygan,Sheboygan city (part),16714
623L600US5502711773000,5.50271E+12,55,117,73000,27,27236675,271129,Sheboygan,Sheboygan town (part),8136
623L600US5502711773025,5.50271E+12,55,117,73025,27,246130,0,Sheboygan Falls,Sheboygan Falls city (part),96
623L600US5502711773050,5.50271E+12,55,117,73050,27,80132114,797813,Sheboygan Falls,Sheboygan Falls town,1824
623L600US5502801301900,5.5028E+12,55,13,1900,28,162662074,3054086,Anderson,Anderson town,408
