GEOID,GEOCODE,STATE,SLDL18,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
627L600US5509199999,5509199999,55,91,99999,,,62085479,5219300,91,Assembly District 91,59397
627L600US5509299999,5509299999,55,92,99999,,,4925919273,116089264,92,Assembly District 92,59334
627L600US5509399999,5509399999,55,93,99999,,,3121441286,111366003,93,Assembly District 93,60667
627L600US5509499999,5509499999,55,94,99999,,,1101077022,44674018,94,Assembly District 94,62080
627L600US5509599999,5509599999,55,95,99999,,,69089334,28485104,95,Assembly District 95,58704
627L600US5509699999,5509699999,55,96,99999,,,4436520782,138658919,96,Assembly District 96,58372
627L600US5509799999,5509799999,55,97,99999,,,132769573,2841485,97,Assembly District 97,56590
627L600US5509808130,5509808130,55,98,8130,,,7354494,18020,Richmond School District,Richmond School District (part),840
627L600US5509899999,5509899999,55,98,99999,,,111633045,5842864,98,Remainder of Assembly District 98,60567
627L600US5509900013,5509900013,55,99,13,,,22445796,3797501,Lake Country School District,Lake Country School District,4401
627L600US5509906140,5509906140,55,99,6140,,,21892496,1821977,Hartland-Lakeside Joint No. 3 School District,Hartland-Lakeside Joint No. 3 School District,11740
627L600US5509908130,5509908130,55,99,8130,,,747604,0,Richmond School District,Richmond School District (part),405
627L600US5509909240,5509909240,55,99,9240,,,12279269,2572423,Swallow School District,Swallow School District,3198
627L600US5509909300,5509909300,55,99,9300,,,31435734,1310267,North Lake School District,North Lake School District,2702
627L600US5509909360,5509909360,55,99,9360,,,14885373,1118420,Merton Community School District,Merton Community School District (part),4327
627L600US5509909390,5509909390,55,99,9390,,,17212881,3318639,Stone Bank School District,Stone Bank School District (part),1984
627L600US5509999999,5509999999,55,99,99999,,,227925051,18817808,99,Remainder of Assembly District 99,29023
628L600US5500199999,5500199999,55,1,,99999,,2407171265,6924563375,1,Assembly District 1,59834
628L600US5500299999,5500299999,55,2,,99999,,1064317436,28319623,2,Assembly District 2,62564
628L600US5500399999,5500399999,55,3,,99999,,431712581,157422994,3,Assembly District 3,61906
628L600US5500499999,5500499999,55,4,,99999,,77961716,2821457,4,Assembly District 4,58716
628L600US5500599999,5500599999,55,5,,99999,,937362872,3885943,5,Assembly District 5,67428
628L600US5500699999,5500699999,55,6,,99999,,2608829732,44284303,6,Assembly District 6,57409
628L600US5500799999,5500799999,55,7,,99999,,27635994,0,7,Assembly District 7,59355
628L600US5500899999,5500899999,55,8,,99999,,11034420,103122,8,Assembly District 8,53999
628L600US5500999999,5500999999,55,9,,99999,,20670552,69151,9,Assembly District 9,57339
628L600US5501099999,5501099999,55,10,,99999,,19816758,1108706,10,Assembly District 10,52628
628L600US5501105490,5501105490,55,11,,5490,,7813157,419000,Nicolet Union High School District,Nicolet Union High School District (part),6276
628L600US5501199999,5501199999,55,11,,99999,,28414313,62346,11,Remainder of Assembly District 11,47999
628L600US5501299999,5501299999,55,12,,99999,,44535113,168771,12,Assembly District 12,56305
628L600US5501399999,5501399999,55,13,,99999,,66175341,412922,13,Assembly District 13,61779
628L600US5501499999,5501499999,55,14,,99999,,71759537,801053,14,Assembly District 14,60136
628L600US5501599999,5501599999,55,15,,99999,,58313009,545202,15,Assembly District 15,57145
628L600US5501699999,5501699999,55,16,,99999,,17285465,75400,16,Assembly District 16,53739
628L600US5501799999,5501799999,55,17,,99999,,18769804,0,17,Assembly District 17,55343
628L600US5501899999,5501899999,55,18,,99999,,14601645,43754,18,Assembly District 18,52987
628L600US5501999999,5501999999,55,19,,99999,,17085772,8951102,19,Assembly District 19,62056
628L600US5502099999,5502099999,55,20,,99999,,44590035,4062942,20,Assembly District 20,56812
628L600US5502199999,5502199999,55,21,,99999,,88623137,1394359023,21,Assembly District 21,59100
628L600US5502206120,5502206120,55,22,,6120,,117283383,1896061,Hartford Union High School District,Hartford Union High School District (part),6815
628L600US5502206180,5502206180,55,22,,6180,,26900330,360369,Arrowhead Union High School District,Arrowhead Union High School District (part),4190
628L600US5502299999,5502299999,55,22,,99999,,147982322,1916328,22,Remainder of Assembly District 22,49745
628L600US5502305490,5502305490,55,23,,5490,,13362886,0,Nicolet Union High School District,Nicolet Union High School District (part),11312
628L600US5502399999,5502399999,55,23,,99999,,118800888,1047127006,23,Remainder of Assembly District 23,49449
628L600US5502405490,5502405490,55,24,,5490,,20469791,552594,Nicolet Union High School District,Nicolet Union High School District (part),8683
628L600US5502499999,5502499999,55,24,,99999,,185807641,822976,24,Remainder of Assembly District 24,52054
628L600US5502599999,5502599999,55,25,,99999,,994373861,2315518220,25,Assembly District 25,57986
628L600US5502699999,5502699999,55,26,,99999,,399867842,1946524672,26,Assembly District 26,58710
628L600US5502799999,5502799999,55,27,,99999,,666731473,24653553,27,Assembly District 27,59294
